win,lose,probability
Indiana Pacers,Detroit Pistons,0.5574971566291251
Boston Celtics,Miami Heat,0.6087621561871992
Milwaukee Bucks,Brooklyn Nets,0.8281643745592061
Chicago Bulls,New York Knicks,0.5837198842152935
Toronto Raptors,Orlando Magic,0.7746391684315036
Portland Trail Blazers,Minnesota Timberwolves,0.74465644355832
Philadelphia 76ers,Dallas Mavericks,0.7994593539766968
Utah Jazz,Charlotte Hornets,0.6576184436328815
Phoenix Suns,Cleveland Cavaliers,0.5498428266150353
Oklahoma City Thunder,Los Angeles Lakers,0.6683821535372143
San Antonio Spurs,Atlanta Hawks,0.8073975790873483
Houston Rockets,Sacramento Kings,0.6124484031550732
Golden State Warriors,Denver Nuggets,0.5038663540398154
Indiana Pacers,Detroit Pistons,0.6104044331071801
Orlando Magic,New York Knicks,0.8880767017216346
Washington Wizards,Chicago Bulls,0.7611650974440684
Philadelphia 76ers,Atlanta Hawks,0.7910395570754942
Toronto Raptors,Brooklyn Nets,0.7984463848314547
Boston Celtics,Miami Heat,0.6447027278685179
Charlotte Hornets,New Orleans Pelicans,0.5465527163915723
Minnesota Timberwolves,Dallas Mavericks,0.599717181908415
Denver Nuggets,San Antonio Spurs,0.5954895179898949
Utah Jazz,Phoenix Suns,0.8775909404979738
Portland Trail Blazers,Memphis Grizzlies,0.7587115182261127
Houston Rockets,Los Angeles Clippers,0.5635457954319163
Milwaukee Bucks,Philadelphia 76ers,0.7025348988695819
Sacramento Kings,Cleveland Cavaliers,0.8449128405934858
Golden State Warriors,Los Angeles Lakers,0.8007508042408873
Toronto Raptors,Charlotte Hornets,0.7551022043351402
Orlando Magic,Atlanta Hawks,0.7934461543833489
San Antonio Spurs,Washington Wizards,0.6514956505663128
Houston Rockets,New York Knicks,0.9179643460601286
Boston Celtics,Indiana Pacers,0.520047480013019
Miami Heat,Minnesota Timberwolves,0.6422021716871633
Oklahoma City Thunder,Detroit Pistons,0.690203197319381
Memphis Grizzlies,Dallas Mavericks,0.5076787148193561
Utah Jazz,Sacramento Kings,0.6872564781013506
New Orleans Pelicans,Phoenix Suns,0.689041029551714
Denver Nuggets,Portland Trail Blazers,0.5234028322169939
Golden State Warriors,Cleveland Cavaliers,0.9201015669445628
Los Angeles Clippers,Los Angeles Lakers,0.5785454277391895
Milwaukee Bucks,Brooklyn Nets,0.5941753442284298
Philadelphia 76ers,Chicago Bulls,0.8709729571203697
Toronto Raptors,Miami Heat,0.652110458636942
San Antonio Spurs,Cleveland Cavaliers,0.8317270853069927
Oklahoma City Thunder,Minnesota Timberwolves,0.6234239843670372
Detroit Pistons,Charlotte Hornets,0.5967208596011467
Brooklyn Nets,Indiana Pacers,0.5791830895979697
Memphis Grizzlies,Dallas Mavericks,0.5656691617450912
Houston Rockets,Phoenix Suns,0.9108041445679745
Milwaukee Bucks,Atlanta Hawks,0.8514786538664003
Boston Celtics,Orlando Magic,0.7404824393047894
Washington Wizards,New York Knicks,0.7206880469075891
Golden State Warriors,Los Angeles Clippers,0.5989842393635391
Denver Nuggets,Portland Trail Blazers,0.5669816812559582
Sacramento Kings,New Orleans Pelicans,0.6680925800910953
Utah Jazz,Los Angeles Lakers,0.728043151787614
Charlotte Hornets,Cleveland Cavaliers,0.731033651300895
Detroit Pistons,Memphis Grizzlies,0.6721845989174393
Boston Celtics,Washington Wizards,0.6176935422312853
Philadelphia 76ers,Miami Heat,0.7630691206230386
Chicago Bulls,New York Knicks,0.6260670837843901
Toronto Raptors,Minnesota Timberwolves,0.8077312690332781
Golden State Warriors,New Orleans Pelicans,0.805890832105596
Dallas Mavericks,Phoenix Suns,0.7212237633574587
Denver Nuggets,Utah Jazz,0.6073566133738763
Oklahoma City Thunder,Houston Rockets,0.5320825200888001
Portland Trail Blazers,Los Angeles Lakers,0.7398690473057908
Indiana Pacers,Atlanta Hawks,0.7587971948639419
Miami Heat,Brooklyn Nets,0.6285992060360632
Charlotte Hornets,Orlando Magic,0.5819427639635323
Golden State Warriors,Memphis Grizzlies,0.772723823981425
Milwaukee Bucks,Oklahoma City Thunder,0.6786927799254938
