,WTeam,LTeam,WLoc
0,Boston Celtics,Philadelphia 76ers,Home_Team
1,Golden State Warriors,Oklahoma City Thunder,Home_Team
2,Milwaukee Bucks,Charlotte Hornets,Visitor_Team
3,Detroit Pistons,Brooklyn Nets,Home_Team
4,Indiana Pacers,Memphis Grizzlies,Home_Team
5,Orlando Magic,Miami Heat,Home_Team
6,New York Knicks,Atlanta Hawks,Home_Team
7,Toronto Raptors,Cleveland Cavaliers,Home_Team
8,New Orleans Pelicans,Houston Rockets,Visitor_Team
9,San Antonio Spurs,Minnesota Timberwolves,Home_Team
10,Utah Jazz,Sacramento Kings,Visitor_Team
11,Denver Nuggets,Los Angeles Clippers,Visitor_Team
12,Phoenix Suns,Dallas Mavericks,Home_Team
13,Philadelphia 76ers,Chicago Bulls,Home_Team
14,Miami Heat,Washington Wizards,Visitor_Team
15,Portland Trail Blazers,Los Angeles Lakers,Home_Team
16,Charlotte Hornets,Orlando Magic,Visitor_Team
17,Brooklyn Nets,New York Knicks,Home_Team
18,Memphis Grizzlies,Atlanta Hawks,Home_Team
19,Minnesota Timberwolves,Cleveland Cavaliers,Home_Team
20,New Orleans Pelicans,Sacramento Kings,Home_Team
21,Toronto Raptors,Boston Celtics,Home_Team
22,Milwaukee Bucks,Indiana Pacers,Home_Team
23,Los Angeles Clippers,Oklahoma City Thunder,Home_Team
24,Golden State Warriors,Utah Jazz,Visitor_Team
25,Indiana Pacers,Brooklyn Nets,Home_Team
26,Toronto Raptors,Washington Wizards,Visitor_Team
27,Boston Celtics,New York Knicks,Visitor_Team
28,Philadelphia 76ers,Orlando Magic,Home_Team
29,Detroit Pistons,Chicago Bulls,Visitor_Team
30,Charlotte Hornets,Miami Heat,Visitor_Team
31,Dallas Mavericks,Minnesota Timberwolves,Home_Team
32,Denver Nuggets,Phoenix Suns,Home_Team
33,Portland Trail Blazers,San Antonio Spurs,Home_Team
34,Houston Rockets,Los Angeles Lakers,Visitor_Team
35,Atlanta Hawks,Cleveland Cavaliers,Visitor_Team
36,Sacramento Kings,Oklahoma City Thunder,Visitor_Team
37,Denver Nuggets,Golden State Warriors,Home_Team
38,Los Angeles Clippers,Houston Rockets,Home_Team
39,Orlando Magic,Boston Celtics,Visitor_Team
40,Toronto Raptors,Charlotte Hornets,Home_Team
41,Milwaukee Bucks,New York Knicks,Home_Team
42,Minnesota Timberwolves,Indiana Pacers,Home_Team
43,Dallas Mavericks,Chicago Bulls,Home_Team
44,Memphis Grizzlies,Utah Jazz,Visitor_Team
45,Washington Wizards,Portland Trail Blazers,Visitor_Team
46,Golden State Warriors,Phoenix Suns,Home_Team
47,San Antonio Spurs,Los Angeles Lakers,Visitor_Team
48,Detroit Pistons,Philadelphia 76ers,Home_Team
49,New Orleans Pelicans,Los Angeles Clippers,Home_Team
50,Denver Nuggets,Sacramento Kings,Home_Team
51,Atlanta Hawks,Dallas Mavericks,Home_Team
52,Brooklyn Nets,Cleveland Cavaliers,Visitor_Team
53,Miami Heat,New York Knicks,Home_Team
54,Toronto Raptors,Minnesota Timberwolves,Home_Team
55,Chicago Bulls,Charlotte Hornets,Home_Team
56,Utah Jazz,Houston Rockets,Visitor_Team
57,Indiana Pacers,San Antonio Spurs,Visitor_Team
58,Milwaukee Bucks,Philadelphia 76ers,Home_Team
59,Los Angeles Lakers,Phoenix Suns,Visitor_Team
60,Sacramento Kings,Memphis Grizzlies,Home_Team
61,Golden State Warriors,Washington Wizards,Home_Team
62,Detroit Pistons,Cleveland Cavaliers,Home_Team
63,Portland Trail Blazers,Orlando Magic,Visitor_Team
64,Boston Celtics,Oklahoma City Thunder,Visitor_Team
65,Los Angeles Lakers,Denver Nuggets,Home_Team
66,Charlotte Hornets,Chicago Bulls,Home_Team
